Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsamtsbezirk;Sozialrathausbezirk;Sozialbezirk;Polizeirevier;Postleitzahl
416;"Bethmann-Hollweg-Straße";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
417;"Bethmannstraße";"gerade";"2";"";"10";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60311
417;"Bethmannstraße";"gerade";"50";"";"58";"";"1 ";"Innenstadt";"040";"1.03";" 1";"A1";1;"1";60311
417;"Bethmannstraße";"ungerade";"23";"";"41";"";"1 ";"Innenstadt";"040";"1.03";" 1";"A1";1;"1";60311
417;"Bethmannstraße";"ungerade";"3";"";"19";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60311
418;"Bettinaplatz";"";"";"";"";"";"2 ";"Westend-Süd";"170";"2.11";" 2";"A4";3;"13";60325
419;"Bettinastraße";"gerade";"";"";"";"";"2 ";"Westend-Süd";"100";"2.11";" 2";"A4";3;"13";60325
419;"Bettinastraße";"ungerade";"";"";"";"";"2 ";"Westend-Süd";"170";"2.11";" 2";"A4";3;"13";60325
420;"Betzdorfer Straße";"";"";"";"";"";"6 ";"Sossenheim";"632";"6.54";"6C";"A7";58;"17";65936
421;"Beunestraße";"";"";"";"";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"16";65934
422;"Beuthener Straße";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"326";"5.34";"5A";"A6";23;"8";60598
423;"Biebergasse";"";"";"";"";"";"1 ";"Innenstadt";"050";"1.02";" 1";"A1";1;"1";60313
424;"Biedenkopfer Weg";"";"";"";"";"";"7 ";"Rödelheim";"402";"7.56";" 7";"A4";33;"11";60489
425;"Biegweg";"";"";"";"";"";"2 ";"Bockenheim";"344";"2.14";" 2";"A4";10;"11";60486
426;"Bielefelder Straße";"gerade";"2";"";"22";"";"6 ";"Zeilsheim";"611";"6.49";"6B";"A7";56;"17";65931
426;"Bielefelder Straße";"gerade";"24";"";"138";"";"6 ";"Zeilsheim";"604";"6.49";"6B";"A7";56;"17";65931
426;"Bielefelder Straße";"ungerade";"1";"";"35";"";"6 ";"Zeilsheim";"611";"6.49";"6B";"A7";56;"17";65931
426;"Bielefelder Straße";"ungerade";"37";"";"91";"";"6 ";"Zeilsheim";"604";"6.49";"6B";"A7";56;"17";65931
427;"Bildäckerstraße";"";"";"";"";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"16";65934
428;"Billtalstraße";"";"";"";"";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65929
429;"Bilsteinweg";"";"";"";"";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"12";60435
430;"Bindingstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
431;"Bingelsweg";"gerade";"102";"";"114";"";"6 ";"Griesheim";"552";"6.41";"6A";"A3";52;"16";65933
431;"Bingelsweg";"gerade";"40";"";"80";"";"6 ";"Griesheim";"542";"6.40";"6A";"A3";52;"16";65933
431;"Bingelsweg";"ungerade";"";"";"";"";"6 ";"Griesheim";"542";"6.40";"6A";"A3";52;"16";65933
432;"Birkenweg";"";"";"";"";"";"2 ";"Bockenheim";"342";"2.14";" 2";"A4";10;"13";60486
433;"Birkholzweg";"";"";"";"";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
435;"Birsteiner Straße";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
436;"Bischofsheimer Platz";"";"";"";"";"";"1 ";"Gallus";"164";"1.08";" 1";"A3";8;"16";60326
437;"Bischofsheimer Straße";"";"";"";"";"";"1 ";"Gallus";"164";"1.08";" 1";"A3";8;"16";60326
438;"Bischofsweg";"gerade";"32";"";"62";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
438;"Bischofsweg";"gerade";"6";"";"12";"";"5 ";"Sachsenhausen-Süd";"326";"5.34";"5A";"A6";23;"8";60598
438;"Bischofsweg";"ungerade";"1";"";"19";"C";"5 ";"Sachsenhausen-Süd";"326";"5.34";"5A";"A6";23;"8";60598
438;"Bischofsweg";"ungerade";"25";"";"65";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
